name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026
Ayaan Iqbal,Scotland,0.0,0.0,1465.6931682214147,1465.6931682214147
Louis Heathcote,"England",1559.6294020557984,1871.1168162110257,1492.7043929273186,1585.2559340126363
Jack Borwick,Scotland,1490.8798400447206,1393.6477852873536,1349.8067515432263,1350.214797949655
Ben Woollaston,"England",1581.0731135914423,1585.6256939473128,1858.4893765938064,1621.7499238952887
Cai Wei,China,0.0,0.0,1410.5903821981517,1410.5903821981517
Allan Taylor,"England",1414.251832066843,1382.0905281754156,1449.0133444540747,1434.844055713866
Stephen Maguire,"Scotland",1597.2820066389504,1988.7161573673638,1765.9514293410275,1771.5406807287275
Rod Lawler,"England",1404.1235514568948,1267.2543284612764,1267.2543284612764,1267.2543284612764
Michal Szubarczyk,Poland,0.0,0.0,1333.1620936839802,1338.8318486660933
Rory McLeod,Jamaica,1496.2131789495115,1367.1449338935674,1363.6932689055495,1363.6932689055495
Ben Hancorn,England,1469.6230683823965,1469.6230683823965,1469.6230683823965,1469.6230683823965
Mitchell Mann,"England",1219.2931014656397,1219.2931014656397,1625.0994344842268,1466.0844947638793
Krzysztof Czapnik,Poland,0.0,0.0,0.0,1410.7464664837291
Victor Sarkis,"Brazil",834.7723847275635,772.5734757544113,772.5734757544113,772.5734757544113
Ma Hailong,China,1328.8769298219297,1471.459550732118,1492.1967565119078,1492.1967565119078
Zheng Dian,China,0.0,0.0,1471.3329715078055,1471.3329715078055
David Grace,"England",1769.2456730870865,1416.553250099698,1581.9114464185072,1541.72786677394
Robbie Mcguigan,Northern Ireland,1379.467520715754,1361.5187025897085,1300.8952772178693,1360.0676815957697
Zack Richardson,England,0.0,0.0,1451.2889225575684,1469.7874597719192
Mateusz Baranowski,Poland,0.0,0.0,1458.6536152983417,1433.1423003801879
Zak Surety,"England",1350.0800740591699,1666.296854714534,2126.492782229221,1685.4046804276877
Farakh Ajaib,England,1243.9130532834974,1243.9130532834974,1252.1513723461853,1254.3517569469275
Mark Selby,"England",2106.6473068511004,2092.9108519943347,2312.9803844915373,2287.6724064209825
