name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Wang Xinzhong,China,1500.0,1369.4782005142977,1369.4782005142977,1750.9005115247548,1750.9005115247548
Kusai Hamed Sharif,Libya,1500.0,1500.0,1397.6971948297157,1397.6971948297157,1397.6971948297157
Zhao Xintong,"China",1804.0266415511985,1804.0266415511985,2907.784953956968,2625.0609352525025,2488.341047730726
Hammad Miah,"England",1340.971847603686,1236.4465630192944,1393.6821134318989,1438.0403584360556,1297.659108383865
Habib Subah Humood,Bahrain,1500.0,1500.0,1352.3226563814167,1377.4648301471834,1377.4648301471834
Robert Milkins,"England",1868.3580895634707,1694.795289331113,1493.2530574119687,1441.9105767011774,1438.3139493254764
Jenson Kendrick,"England",850.4980835098836,1621.9047271862426,1621.9047271862426,1621.9047271862426,1621.9047271862426
Aaron Hill,"Ireland",1453.9247462411436,1527.3255836699386,1837.3602388690028,1708.7040172741201,1793.1665423611348
Phil O'Kane,England,1500.0,1500.0,1500.0,1500.0,1211.084464173848
Luke Simmonds,England,1451.3898958003274,1451.3898958003274,1451.3898958003274,1451.3898958003274,1451.3898958003274
Nattanapong Chaikul,Thailand,1500.0,1500.0,1500.0,1500.0,1419.1689784156613
Andy Hicks,"England",1523.9333649883683,1587.8120102269556,1587.8120102269556,1587.8120102269556,1587.8120102269556
Shaun Murphy,"England",2476.9584146709085,2024.8649347406522,2485.9790420472186,2805.6803246349996,2241.4372717387664
Jak Jones,"Wales",2107.816601901766,2418.5623801767024,2044.8928005743956,2035.703041924825,2141.5718209126126
Zhang Anda,"China",1832.8385726435108,1944.464561503285,1829.7135021293789,2242.916441853548,1880.48045914249
Mohammed Asif,"Pakistan",1053.590610719043,1184.1001409935402,1184.1001409935402,1184.1001409935402,1184.1001409935402
Leone Crowley,Ireland,1500.0,1485.43431652763,1263.8877599529933,1358.052351699669,1297.7871037222196
Robbie Williams,"England",1751.292119183355,1934.632379349224,1662.4892269880195,1629.499293470201,1431.9183257940826
Long Zehuang,China,1500.0,1437.472025626892,1807.6177693477616,1888.4902344324441,1572.623837663552
Daniel Womersley,England,1500.0,1298.4246333180704,1242.1718205604743,1391.2138816275688,1360.6641496189195
Musab Sayegh,Saudi Arabia,1500.0,1500.0,1500.0,1398.4382881623346,1398.4382881623346
Matthew Stevens,"Wales",1757.203437450051,1690.4863212770604,1909.2054265323409,1763.6938043528546,1468.2986445075562
Harvey Chandler,England,1414.603969034633,1414.603969034633,1405.603600088495,1405.603600088495,1405.603600088495
Jackson Page,"Wales",1804.327844829883,1899.272805583237,1901.2753905420152,1743.6008170126197,1830.9345761755108
Zhou Jinhao,China,1500.0,1500.0,1410.7856690960023,1456.3035980489544,1456.3035980489544
Zou Pengfei,China,1500.0,1500.0,1488.7596015169381,1488.7596015169381,1488.7596015169381
Cao Yupeng,"China",1741.9095432227448,1819.1441701877843,1819.1441701877843,1819.1441701877843,1819.1441701877843
Wu Yize,"China",1824.4391774058452,1615.4684657591533,2302.6097598246492,2800.272130184813,2253.204538966555
Gary Thomson,Scotland,1500.0,1500.0,1500.0,1426.8460863839355,1426.8460863839355
Cao Jin,China,1500.0,1500.0,1494.3920892707054,1494.3920892707054,1494.3920892707054
Steven Hallworth,England,1496.5837446782764,1526.2940713983155,1503.9364389779305,1377.029381528775,1471.1495782493726
Joe Perry,"England",1802.6187418285392,1567.9096691949917,1574.30950368443,1574.30950368443,1574.30950368443
Lewis Ullah,England,1280.0463189320685,1280.0463189320685,1370.1711023206992,1370.1711023206992,1370.1711023206992
Ayman Alamri,Saudi Arabia,1500.0,1500.0,1387.0241346310243,1418.5587065225345,1418.5587065225345
Han Fuyuan,China,1500.0,1500.0,1500.0,1471.7586295309384,1471.7586295309384
Joel Connolly Jnr,Northern Ireland,1294.5293070366017,1319.3602225136058,1413.1843002638,1443.6739659906061,1443.6739659906061
Adam Duffy,"England",1292.0849911377966,1052.6980722841815,1052.6980722841815,1052.6980722841815,1052.6980722841815
Iulian Boiko,Ukraine,1616.067124243711,1273.6294154856037,1549.306357234833,1391.6385888160733,1478.7718578987299
Amaan Iqbal,Scotland,1285.7087794990302,1350.151754562314,1281.8792806923675,1281.491860647576,1281.491860647576
