name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Mark Selby,"England",2466.168344805426,2207.1757933719005,2568.392134234866,2450.559293176969,2380.179525904307
Sean O'Sullivan,"England",1361.1039055910728,1328.37699215949,1350.0832593451514,1350.0832593451514,1319.28872720847
Liam Davies,Wales,1273.3020614028242,1286.3581380998776,1442.014739031628,1601.4291826815129,1699.9345770563446
Ryan Thomerson,"Australia",1063.841279579148,1039.5773972839893,1194.274441577826,1194.274441577826,1125.571514400206
Alfie Davies,Wales,1500.0,1494.810438776875,1452.871136400468,1472.4440747857898,1446.3861563785629
Julien Leclercq,"Belgium",1431.581612545851,1410.367051237352,1544.339863086585,1663.1071481569045,1486.777468770503
Sydney Wilson,England,1500.0,1261.027781682594,1261.027781682594,1261.027781682594,1261.027781682594
Oliver Brown,"England",1105.4157269974962,1447.4781048204507,1447.4781048204507,1230.950866148107,1301.7949546792634
Stan Moody,England,1341.1614840909422,1388.6154848798628,1836.6616038528146,2078.5474338442327,1702.1564263205687
Ashley Carty,England,1500.0,1432.703207484475,1418.2046162056217,1528.5428456884656,1483.8038999582207
Jiang Jun,China,1500.0,1815.1834576636254,1648.162376875303,1888.0709163052102,1612.8541083038367
Zak Sheldon,Northern Ireland,1500.0,1500.0,1500.0,1410.8817576529973,1410.8817576529973
Akani Songsermsawad,Thailand,1500.0,1500.0,1674.607708043661,1477.3984214368504,1477.3984214368504
Aidan Murphy (II),England,1500.0,1500.0,1500.0,1409.4235514163363,1409.4235514163363
Liu Linhao,China,1500.0,1500.0,1500.0,1500.0,1471.4686637545967
Neil Robertson,"Australia",1975.3259300821956,2270.106602442906,2139.6493793606605,2358.5864758197445,2120.279192717509
Ng On Yee,"Hong Kong",1092.1143588551738,1092.1143588551738,1092.1143588551738,1125.0844013743797,1159.7273231378144
Thepchaiya Un-Nooh,"Thailand",1906.7874488057655,1793.4202520534448,1700.6440338794905,2238.6166993940797,1729.0707116387725
Elliot Slessor,"England",1940.4530955561258,1890.4866647648375,2043.8425186561158,1843.625085154898,1844.2055880392822
Ahmed Abul,Kuwait,1500.0,1500.0,1411.5726835440619,1411.5726835440619,1411.5726835440619
Zhao Hanyang,China,1500.0,1500.0,1500.0,1457.0492321727522,1241.937149817064
Reanne Evans,"England",907.0625826936708,763.75452929007,988.911514082178,1145.5217825898542,1114.5902558998955
Jordan Brown,"Northern Ireland",1675.6937029523822,1621.7190433155733,1549.2288205117486,1381.2888164665974,1574.276408823795
Haitham Al Mahri,Oman,1500.0,1500.0,1386.4768462360698,1386.4768462360698,1386.4768462360698
Abdulraouf Sayegh,Saudi Arabia,1500.0,1500.0,1480.5448050760363,1480.5448050760363,1480.5448050760363
Stuart Bingham,"England",1762.4347778503736,2362.431058441126,1824.1205536916862,1986.893029194546,1680.3549856418886
Billy Joe Castle,England,1397.4042963382794,1397.4042963382794,1397.4042963382794,1397.4042963382794,1397.4042963382794
Brian Cini,Malta,1500.0,1500.0,1384.6105879679928,1375.3062197770284,1375.3062197770284
Jimmy White,"England",1394.2406007061745,1297.904296496137,1298.532397711495,1449.5239897049871,1264.7219415329446
Mostafa Dorgham,Egypt,1500.0,1376.2040033051815,1257.8807360858991,1283.612454029604,1283.612454029604
James Cahill,"England",1526.5748240764183,1343.4706494235966,1343.4706494235966,1544.1745713747368,1544.1745713747368
Andres Petrov,"Estonia",1297.0887540106542,1323.7847168658586,1286.8571839454726,1286.8571839454726,1286.8571839454726
Daniel Holoyda,Poland,1500.0,1367.253320577841,1367.253320577841,1367.253320577841,1367.253320577841
Martin Gould,"England",1502.534003802129,1512.9315159541925,1512.9315159541925,1512.9315159541925,1512.9315159541925
Vladislav Gradinari,Moldova,1484.5970668287,1361.0053533014539,1360.991254423522,1272.1784736510215,1264.9988717030833
John Higgins,"Scotland",2333.2618277559773,2163.3142327188502,2633.980278495613,2590.0321003600684,2078.7395673933447
Ellise Scott,England,1500.0,1500.0,1500.0,1482.4084807956144,1482.4084807956144
Michael Georgiou,Cyprus,1509.4253123019535,1509.4253123019535,1509.4253123019535,1509.4253123019535,1509.4253123019535
Dong Zihao,China,1500.0,1467.063193082472,1467.063193082472,1467.063193082472,1467.063193082472
Hesham Shawky,Egypt,1500.0,1500.0,1500.0,1461.5960874474065,1461.5960874474065
Himanshu Jain,"India",861.5435586771017,966.4591839763011,966.4591839763011,966.4591839763011,966.4591839763011
Lan Yuhao,China,1500.0,1450.6605532662518,1450.6605532662518,1548.7112450079223,1550.4083745844814
Sophie Nix,Scotland,1500.0,1500.0,1489.3198375406557,1489.3198375406557,1489.3198375406557
Fahad Alghamdi,Saudi Arabia,1500.0,1500.0,1500.0,1399.9476188021065,1399.9476188021065
Peifan Lei,"China",1380.0488631369446,1380.0488631369446,2273.912722558473,1657.1637439970186,1794.325417160123
Mink Nutcharut,"Thailand",944.6260925012878,897.8680291711838,1047.627010991705,943.0478744096259,943.0478744096259
Khalid Kamali,United Arab Emirates,1500.0,1500.0,1430.1220156714323,1430.1220156714323,1430.1220156714323
Mark Joyce,"England",1448.8387391828112,1397.7165822108846,1386.37490983235,1386.37490983235,1495.8321534526476
Ali Carter,"England",1949.2409287815608,2006.761945910043,1982.9986680286565,2180.816426670332,2016.3871097959657
Si Jiahui,"China",2423.233058591443,1939.3633768057123,2118.7309419981843,1693.6354519598165,1746.7373803143705
Igor Figueiredo,Brazil,1500.0,1500.0,1474.3745429668218,1536.585728839978,1536.585728839978
Mykhailo Larkov,Ukraine,1500.0,1500.0,1500.0,1342.0019480796595,1227.3280095098735
Sahil Nayyar,India,1500.0,1500.0,1500.0,1291.4352491833426,1147.9154891868586
Liu Yang,China,1500.0,1500.0,1500.0,1492.636739656922,1391.9174729679457
Xu Si,"China",1719.7039763315652,1461.2161770244725,1703.9974988580102,1938.1082384946071,1891.9510605154483
Josh Mulholland,England,1500.0,1389.1161951113422,1430.0203034881822,1430.0203034881822,1430.0203034881822
Shaun Liu,Hong Kong,1500.0,1485.3920356039807,1485.3920356039807,1485.3920356039807,1485.3920356039807
Liam Highfield,"England",1546.1539653576353,1443.0952761880144,1558.3746815032798,2009.6304602854007,1798.187788850334
Liu Hongyu,China,1500.0,1598.1361574869438,1483.1117160779938,1642.064140223312,1847.7316624014943
Daniel Boyes,England,1500.0,1500.0,1493.0822056427917,1333.2038994625636,1333.2038994625636
Matthew Selt,"England",1977.0037961111173,1938.2715139883899,1920.8892219360228,1699.1347337165826,1791.8392493487559
Jack Bradford,Wales,1500.0,1500.0,1500.0,1481.548520703206,1369.6416184559466
Anton Kazakov,"Ukraine",1074.3060268789495,1038.103301085819,1131.2022523505166,1275.077981558438,1201.5719653008819
Dylan Emery,"Wales",1414.8862104428877,1349.1422752557348,1475.2192097033683,1706.406877897356,1700.5206394562565
Oliver Briffett-Payne,Wales,1441.889311854498,1393.872422058529,1430.212085247831,1445.1349771713617,1445.1349771713617
Peter Lines,"England",1488.2963686987803,1374.3228250590007,1457.7883000247546,1511.664174463549,1495.8987224576306
Ding Junhui,"China",1998.9783099018239,2332.2092502284536,2102.345243074061,2324.369317959896,2113.4539594595203
Gao Yang,China,1432.8304672141853,1463.1075271631273,1823.4234247482682,1645.9244518139317,1558.493778366577
